夫	夫 夫婦 工夫
責	責任 責める 無責任
役	役 役所 役立つ
助	助ける 助かる 助手
支	支える 支払う 支店
共	共通 共同 共に
供	子供 供給 提供
係	関係 係 係員
議	会議 議論 不思議
論	議論 結論 論文
談	相談 冗談 会談
参	参加 参考 参る
賛	賛成 賛否 絶賛
連	連絡 連続 連休
関	関係 関心 玄関
伝	伝える 手伝う 伝統
報	情報 天気予報 報告
告	告げる 報告 広告
記	日記 記事 記録
示	示す 指示 表示
指	指 指す 指導
表	表 発表 表現
申	申す 申し込む 申請
求	求める 要求 請求
頼	頼む 頼る 信頼
呼	呼ぶ 呼吸 呼び出す
許	許す 許可 免許
予	予定 予約 予報
期	期間 学期 期待
約	約束 予約 約
選	選ぶ 選手 選挙
商	商品 商店 商売
財	財産 財布 財政
資	資料 資源 資格
費	費用 生活費 交通費
給	給料 給食 供給
経	経験 経済 経営
済	済む 済ませる 経済
富	豊富 富 富む
貧	貧しい 貧乏 貧困
収	収入 収集 回収
政	政治 政府 政党
官	警官 官庁 長官
法	方法 法律 文法
制	制度 制限 体制
権	権利 権力 人権
規	規則 規模 定規
限	限る 制限 限界
守	守る 留守 守備
備	準備 設備 備える
危	危ない 危険 危機
険	危険 保険 冒険
警	警察 警官 警告
害	被害 害 災害
罪	罪 犯罪 無罪
犯	犯人 犯罪 犯す
誤	誤る 誤解 誤り
違	違う 間違い 間違える
盗	盗む 強盗 盗難
戦	戦争 戦う 挑戦
争	争う 戦争 競争
殺	殺す 殺人 自殺
亡	亡くなる 死亡 亡命
失	失う 失敗 失礼
勝	勝つ 勝手 優勝
敗	失敗 敗れる 敗北
負	負ける 負担 勝負
反	反対 違反 反省
対	対する 反対 絶対
打	打つ 打ち合わせ 打開
投	投げる 投票 投資
突	突然 突く 衝突
倒	倒れる 倒す 面倒
破	破る 破れる 破壊
消	消す 消える 消費
除	掃除 除く 解除
断	断る 判断 横断
治	治る 治す 治療
曲	曲 曲がる 曲げる
演	演奏 講演 出演
舞	舞台 舞う 見舞い
絵	絵 絵本 絵画
因	原因 要因 因果
由	理由 自由 由来
性	性格 女性 性質
状	状態 状況 現状
件	事件 条件 件
平	平和 平ら 平日
和	平和 和食 和室
等	平等 等しい 高等
互	互い 相互 交互
相	相談 相手 相当
他	他 他人 その他
非	非常 非難 是非
否	否定 賛否 否決
然	自然 全然 突然
当	当たる 本当 適当
配	心配 配る 配達
構	構う 結構 構成
積	積む 積極的 面積
付	付く 付ける 受付
速	速い 早速 速度
忙	忙しい 多忙
活	生活 活動 活躍
労	苦労 疲労 労働
存	存在 保存 生存
在	現在 存在 在学
残	残る 残す 残念
余	余る 余裕 余分
欠	欠席 欠点 欠ける
閉	閉める 閉まる 閉じる
放	放送 放す 放る
込	込む 申し込む 振り込む
抱	抱く 抱える 抱負
偶	偶然 偶数 配偶者
偉	偉い 偉大 偉人
様	様子 皆様 同様
皆	皆 皆様 皆無
信	信じる 信号 自信
例	例えば 例 例外
単	簡単 単語 単位
原	原因 原料 原則
種	種類 種 各種
容	内容 容易 美容
交	交通 交換 交差点
利	便利 利用 利益
割	割合 割る 割れる
与	与える 給与 関与
緒	一緒 緒 情緒
号	番号 信号 記号
点	点 欠点 点数
局	郵便局 結局 薬局
際	実際 国際 交際
頂	頂上 頂く 山頂
過	過ぎる 過ごす 過去
程	程度 日程 過程
更	変更 更に 更新
刻	遅刻 時刻 深刻
最	最近 最後 最初
探	探す 探る 探検
捕	捕まえる 捕まる 捕る
処	処理 処分 対処
命	命 命令 生命
球	地球 野球 電球
静	静か 静まる 冷静
煙	煙 禁煙 喫煙
雑	雑誌 複雑 混雑
降	降る 降りる 以降
直	直す 直る 直接
調	調べる 調子 調査
